id,abbyy_variant_id,abbyy_variant_name,shipment_type,zero
1,1,CAILogistics-crosstown,crosstown,3
2,2,Cowin-import,import,3
3,3,CapitalFreight-import,import,3
4,4,Matson-crosstown,crosstown,3
5,5,Jetspeed-import,import,3
6,6,LaserNetworking-export,export,3
7,7,EchoIntermodal-crosstown,crosstown,3
8,8,OOCL-crosstown,crosstown,3
9,9,CHRobinsonDom-export,export,3
10,10,ModeTransport-crosstown,crosstown,2
11,11,Ocean-crosstown,crosstown,2
12,12,Ocean-import/export,import/export,3
14,14,TTS-export,export,2
15,15,TTS-import,import,2
16,16,TTS-crosstown,crosstown,3
18,18,Savino-import,import,2
19,19,Landstar-crosstown,crosstown,2
22,22,APL-import,Import,2
24,24,DSV-import,Import,2
25,25,ExpeditorsMO-export,Export,2
26,26,ExpeditorsMO-import,Import,2
27,27,ExpeditorsStLouis-import,Import,2
28,28,LeisureTime-import,Import,2
29,29,NoatumLogistics-import,Import,2
30,30,OECGroup-import,Import,3
32,32,TQL-import,Import,2
33,33,YangMing-import,Import,2
34,34,Demdaco-import,Import,2
35,35,CHRobinson-import,Import,2
36,36,Laufer-import,Import,2
38,38,Thoroughbred-export,Export,2
39,39,Thoroughbred-import,Import,2
40,40,WagnerLogistics-import,Import,2
41,41,TriangleMetals-import,Import,2
42,42,XPOLogistics-import,Import,2
43,43,VBLMC-import,Import,2
44,44,RiegaFoods-import,Import,2
45,45,Unipac-import,Import,2
46,46,Retrans-crosstown,Crosstown,3
47,47,BayToBayTransport-export,Export,3
49,49,Sino-import,Import,2
50,50,HeritageSolutions-import,Import,2
52,52,AgroSevilla-import,Import,3
53,53,AlgroInternational-import,Import,2
54,54,AltryAlbertsons-import,Import,2
55,55,Anatolia-import,Import,2
56,56,Anatolia-oneway,Oneway,3
57,57,ARLogistics-export,Export,2
58,58,ArchitecturalMailboxesLLC-import,Import,2
59,59,AriesGlobal-export,Export,2
60,60,ArizonaKraton-import,Import,2
61,61,AxensPortCity-export,Export,2
62,62,AxensPortCity-oneway,Oneway,3
63,63,BASFSavannah-export,Export,2
64,64,Brokerage145-export,Export,2
65,65,Brokerage145-import,Import,2
66,66,BrokerageOTR-import,import,2
67,67,BrokerageOTR-oneway,Oneway,3
68,68,CeasarBulkRH-oneway,Oneway,3
69,69,CeasarRHExp-export,Export,2
70,70,CeasarShuttles-oneway,Oneway,3
71,71,CargoGroupTrucking-import,Import,2
73,73,ChrisRawlinsContracting-export,Export,2
74,74,CoyoteLogistics-oneway,Oneway,3
75,75,CPHChemicals-import,Import,2
76,76,CSCSugarLLC-import,Import,2
77,77,CuraFreightLLC-import,Import,2
78,78,EssayGroupLLC-import,Import,2
79,79,FibertexCorpPooler-import,Import,2
80,80,FibertexCorpPooler-oneway,Oneway,3
81,81,GammaInsulators-import,Import,2
82,82,GPTrucking-import,Import,2
84,84,KuehneNagelOneOff-import,Import,2
85,85,LipseyLogisticsLLC-import,Import,2
86,86,LipseyLogisticsLLC-oneway,Oneway,3
87,87,MoorimUSA-import,Import,2
88,88,NationalBoraxCorp-import,Import,2
89,89,NissinTransportUSA-import,Import,2
90,90,NationalRetailSystems-import,Import,2
91,91,NationalRetailSystems-oneway,Oneway,3
92,92,OAExpress-import,Import,2
93,93,ONLTransportationLLC-oneway,Oneway,3
94,94,PerstorpPolyols-oneway,Oneway,3
95,95,Pier1ImportsSavannah-oneway,Oneway,3
96,96,PlasticExpress-export,Export,2
97,97,PortRoyal-import,Import,2
98,98,RDFoodsOneOff-import,Import,2
99,99,ReilyFoodsMayo-export,Export,3
100,100,SankyuUSA-import,Import,2
101,101,SatelliteLogisticsTrans-oneway,Oneway,3
102,102,ScandinavianTobacco-export,Export,2
103,103,SouthlandMetals-import,Import,2
104,104,StarSnacksLLC-import,Import,2
105,105,TronexInternational-import,Import,2
106,106,TycheInternationalGroup-import,Import,2
107,107,WalmartSyncada-import,Import,2
108,108,CMACGM-import,import,2
109,109,Dray360-import,Import,2
110,110,Dray360-export,Export,2
111,111,Dray360-oneway,Oneway,2
112,112,Unrecognized-unknown,Unknown,2
113,113,AcmeFoodCopperSmith-import,Import,2
114,114,AcmeFoodExpeditors-import,Import,2
