id,line,type,equipmentlength,lineprefix,scac
111,                    ,HC 40FT,40FT,,ACL
112,ACL,ST 20FT,20FT,,ACL
110,ACL,ST 40FT,40FT,,ACL
134,ALLIANCE,DRY REF 53FT,53FT,ALLZ,ALLIA
135,ALLIANCE,HC REF 53FT,53FT,ASIU,ALLIA
31,ANL SIGNAPORE,ST 40FT,40FT,,ANL
3,ANL SINGAPORE,HC 40FT,40FT,,ANL
2,APL,HC 40FT,40FT,APLU,APLU
38,APL,ST 20FT,20FT,APLU,APLU
37,APL,ST 40FT,40FT,APLU,APLU
50,BEACON INTERMODAL,ST 20FT,20FT,"BEAU, BMOU",BEAU
49,BEACON INTERMODAL,ST 40FT,40FT,"BEAU, BMOU",BEAU
48,BEACON INTERMODAL ,HC 40FT,40FT,"BEAU, BMOU",BEAU
73,BLUE SKY,HC 40FT,40FT,BSIU,BSIU
75,BLUE SKY,ST 20FT,20FT,BSIU,BSIU
74,BLUE SKY,ST 40FT ,40FT,BSIU,BSIU
144,BNSF XTOWN,DRY 28FT,20FT,,BNSF
142,BNSF XTOWN,DRY 53FT,53FT,,BNSF
140,BNSF XTOWN,HC 40FT,40FT,,BNSF
145,BNSF XTOWN,HC 45FT,45FT,,BNSF
141,BNSF XTOWN,HC 53FT,53FT,,BNSF
143,BNSF XTOWN,ST 20FT,20FT,,BNSF
139,BNSF XTOWN,ST 40FT,40FT,,BNSF
79,BRIDGEHEAD CONTAINER,HC 40FT,40FT,BHCU,BHCU
81,BRIDGEHEAD CONTAINER,ST 20FT,20FT,BHCU,BHCU
80,BRIDGEHEAD CONTAINER,ST 40FT,40FT,BHCU,BHCU
63,CAI,HC 40FT,40FT,"CAIU, CAXU",CAIU
66,CAI,ST 20FT,20FT,"CAIU, CAXU",CAIU
65,CAI,ST 40FT,40FT,"CAIU, CAXU",CAIU
90,CH ROBISON,HC 53FT,53FT,"RBTU, MNLU, MLNU",RBTU
95,CH ROBISON,HC 53FT,53FT,CFQU,CHR
4,CMA-CGM AMERICSA,HC 40FT,40FT,"CMAU, ECMU",CMAU
53,CMA-CGM AMERICSA,ST 20FT,20FT,"CMAU, ECMU",CMAU
43,CMA-CGM AMERICSA,ST 40FT,40FT,"CMAU, ECMU",CMAU
25,COCP,CH 20FT,20FT,COCP,COCP
24,COCP,CH 40FT,40FT,COCP,COCP
29,COCP,CH 45FT,45FT,COCP,COCP
44,COFC LOGISTICS,HC 53FT,53FT,CFQU,CFQU
85,CONTAINER LEASING ,HC 40FT,40FT,CLKU,CLKU
87,CONTAINER LEASING ,ST 20FT,40FT,CLKU,CLKU
86,CONTAINER LEASING ,ST 40FT,40FT,CLKU,CLKU
129,COSCO,HC 40FT,40FT,,COSCO
130,COSCO,ST 20FT,20FT,,COSCO
128,COSCO,ST 40FT,40FT,,COSCO
132,CUSHING,DRY 48FT,48FT,,
117,CUSHING,DRY 53FT,53FT,"CUSZ,CUSH",CIMC
133,CUSHING,TRI 20FT,20FT,CUSZ,CIMC
27,DCLI,CH 20FT,20FT,DCLI,DCLI
26,DCLI,CH 40FT,40FT,DCLI,DCLI
28,DCLI,CH 45FT,45FT,DCLI,DCLI
103,DCLI,CH 53FT,53FT,,DCLI
60,DONG FANG,HC 40FT,40FT,DFSU,DFSU
62,DONG FANG,ST 20FT,20FT,DFSU,DFSU
61,DONG FANG,ST 40FT,40FT,DFSU,DFSU
15,EMHU,HC 53FT,53FT,EMHU,EMHU
5,EVERGREEN,HC 40FT,40FT,EISU,EISU
36,EVERGREEN,ST 40FT,40FT,EISU,EISU
33,FEDEX CNT,HC 53FT,53FT,"FEDU,FDXU","FEDU,"
113,FEDEX TRL,DRY 28FT,28FT,FEDZ,FEDEX
34,FEDEX TRL,DRY 53FT,53FT,FEDZ,FEDZ
7,FESCO,HC 40FT,40FT,FESU,FESU
6,FESCO,ST 20FT,20FT,FESU,FESU
14,FESCO,ST 40FT,40FT,FESU,FSCU
136,FLEXI VAN - FCCP,CH 40FT,40FT,LPCZ,FLEXI
138,FLEXI VAN - FCCP,CH 45FT,45FT,LPCZ,FLEXI
137,FLEXI VAN - FCCP ,CH 20FT,20FT,LPCZ,FLEXI
106,HAPAG LLOYD,HC 40FT,40FT,,HL
104,HAPAG LLOYD,ST 20FT,20FT,,HL
105,HAPAG LLOYD,ST 40FT,40FT,,HL
17,HUB,HC 53FT,53FT,"HGIU, HGWU, UPHU",HUB
32,HYUNDAI,HC 40FT,40FT,"HDMU, HMMU",HDMU
52,HYUNDAI,ST 20FT,20FT,"HDMU, HMMU",HDMU
51,HYUNDAI,ST 40FT,40FT,"HDMU, HMMU",HDMU
96,JB HUNT,HC 53FT,53FT,"JBHU, JBHZ",JBHUNT
131,JBHUNT,CH 53FT,53FT,,
124,JBHUNT,CH 53FT,53FT,,JBHU
123,JBHUNT,DRY 53FT,53FT,,JBHU
1,KLINE,HC 40FT,40FT, ,KKLU
12,KLINE,ST 40FT,40FT,,KKFU
122,KLINE ,ST 20FT,20FT,KKTU,KLINE
8,MAERSK,HC 40FT,40FT,MAEU,MAEU
114,MAERSK,ST 20FT,20FT,MAERSK,MAERSK
115,MAERSK,ST 40FT,40FT,MAERSK,MAERSK
108,MATSON,HC 40FT,40FT,,MATSON
19,MATSON,HC 53FT,53FT,"MLHU, MNLU",MATU
109,MATSON,ST 20FT,20FT,,MATSON
107,MATSON,ST 40FT,40FT,,MATSON
9,MOL MITSUI,HC 40FT,40FT,,MOLU
70,MOL MITSUI,ST 20FT,20FT,,MOLU
69,MOL MITSUI,ST 40FT,40FT,                                                                                                                                                          ,MOLU
94,MSC,HC 40FT,40FT,"MEDU, MSCU, GTIU,  MSDU, MSYU, MSMU,  MSPU, MSZU	  ",MSC
93,MSC,ST 20FT,20FT,"MEDU, MSCU, GTIU,  MSDU, MSYU, MSMU,  MSPU, MSZU	  ",MSC
92,MSC,ST 40FT,40FT,"MEDU, MSCU, GTIU,  MSDU, MSYU, MSMU,  MSPU, MSZU	  ",MSC
98,ONE,HC 40FT,40FT,KKFU,ONE
116,ONE,HC 45FT ,45FT,KKFU,ONE
99,ONE,ST 20FT,20FT,KKFU,ONE
97,ONE,ST 40FT,40FT,KKFU,ONE
41,OOCL,HC 40FT,40FT,OOLU,OOLU
72,OOCL,ST 20FT,20FT,OOCL,OOCL
71,OOCL,ST 40FT,40FT,OOCL,OOCL
126,PACIFIC INTERNATIONAL LINES,HC 40FT,40FT,,PIL
127,PACIFIC INTERNATIONAL LINES,ST 20FT,20FT,,PIL
125,PACIFIC INTERNATIONAL LINES,ST 40FT,40FT,,PIL
35,R+L TRL,DRY 53FT,53FT,"SFZZ, RLZZ, GMLZ, TEMZ, NONZ, ",R+L
23,RAIL BRIDGE,HC 53FT,53FT,RBTU,R+L
45,SEACO,HC 40FT,40FT,"GESU, SEGU, CRSU, HJMU",GESU
47,SEACO,ST 20FT,20FT,"GESU, SEGU, CRSU, HJMU",GESU
46,SEACO,ST 40FT,40FT,"GESU, SEGU, CRSU, HJMU",GESU
64,SEACUBE CONTAINER ,HC 40FT,40FT,"DRYU, GAOU",DRYU
68,SEACUBE CONTAINER ,ST 20FT,20FT,"DRYU, GAOU",DRYU
67,SEACUBE CONTAINER ,ST 40FT,40FT,"DRYU, GAOU",DRYU
57,TAL CONTAINERS,HC 40FT,40FT,TRLU,TRLU
59,TAL CONTAINERS,ST 20FT,20FT,TRLU,TRLU
58,TAL CONTAINERS,ST 40FT,40FT,TRLU,TRLU
76,TEXTAINER,HC 40FT,40FT,,TGBU
78,TEXTAINER,ST 20FT,20FT,,TGBU
77,TEXTAINER,ST 40FT,40FT,,TGBU
82,TOUAX GLOBAL ,HC 40FT,40FT,TCNU,TCNU
84,TOUAX GLOBAL ,ST 20FT,40FT,TCNU,TCNU
83,TOUAX GLOBAL ,ST 40FT,40FT,TCNU,TCNU
30,TRAC,CH 20FT,20FT,TSXZ,TRAC
21,TRAC,CH 40FT,40FT,TSXZ,TRAC
20,TRAC,CH 40FT,40FT,TSXZ,TRAC
121,TRAC,CH 53FT,53FT,,TRAC
54,TRITON CONTAINERS,HC 40FT,40FT,,TCNU
56,TRITON CONTAINERS,ST 20FT,20FT,,TCNU
55,TRITON CONTAINERS,ST 40FT,40FT,,TCNU
16,UMAX,HC 53FT,53FT,UMXU,UMAX
120,WESTWOOD,HC 40FT,40FT,,WW
119,WESTWOOD,ST 20FT,40FT,,WW
118,WESTWOOD,ST 40FT,40FT,,WW
91,XPO,HC 53FT,53FT,XPOU,XPO
101,YANG MING,HC 40FT,40FT,YMLU,YMLU 
102,YANG MING,ST 20FT,20FT,YMLU,YMLU
100,YANG MING,ST 40FT,40FT,YMLU,YMLU 
11,ZIM,HC 40FT,40FT,"ZIMU,ZCLU,ZCSU,ZMOU",ZIM
89,ZIM,ST 20FT,20FT,"ZIMU,ZCLU,ZCSU,ZMOU",ZIM
88,ZIM,ST 40FT,40FT,"ZIMU,ZCLU,ZCSU,ZMOU",ZIM
