id,line,type,equipmentlength,lineprefix,scac
469,0 DAILY CHASSIS,CHASSIS,,,
470,0 HNR CHASSIS,CHASSIS,,,
477,12.50 DAILY CHASSIS,CHASSIS,,,
490,15 DAILY CHASSIS,CHASSIS,,,
471,20 DAILY CHASSIS,CHASSIS,,,
472,20 HNR CHASSIS,CHASSIS,,,
520,22.5 DAILY CHASSIS,CHASSIS,,,
434,25 DAILY CHASSIS,CHASSIS,,,
467,25 HNR,CHASSIS,,,
478,27.50 HNR CHASSIS,CHASSIS,,,
435,30 DAILY CHASSIS,CHASSIS,,,
407,30 HNR ,CHASSIS,,,
529,35 DAILY CHASSIS ,CHASSIS,,,
466,AA CHASSIS INCL.,CHASSIS,,,
438,AA CMA,CMA 20FT ST,20FT,,CMA
436,AA CMA,CMA 40FT HC,40FT,,CMA
437,AA CMA,CMA 40FT ST,40FT,,CMA
440,AA CMA,CMA 45FT ST,45FT,,CMA
439,AA CMA ,CMA 45FT HC,45FT,,CMA
443,AA EVE,EVE 20FT ST,20FT,,EVE
441,AA EVE,EVE 40FT HC,40FT,,EVE
442,AA EVE,EVE 40FT ST,40FT,,EVE
444,AA EVE,EVE 45FT HC,45FT,,EVE
445,AA EVE,EVE 45FT ST,45FT,,EVE
448,AA HAM,HAM 20FT ST,20FT,,HSD
446,AA HAM,HAM 40FT HC,40FT,,HSD
447,AA HAM,HAM 40FT ST,40FT,,HSD
449,AA HAM,HAM 45FT HC,45FT,,HSD
450,AA HAM,HAM 45FT ST,45FT,,HSD
458,AA MSC,MSC 20 FT ST,20FT ,,MSC
457,AA MSC,MSC 40 FT ST,40FT,,MSC
456,AA MSC,MSC 40FT HC,40FT,,MSC
459,AA MSC,MSC 45FT HC,45FT,,MSC
460,AA MSC,MSC 45FT ST,45FT,,MSC
463,AA MSK,MSK 20FT ST,20FT,,MSK
461,AA MSK,MSK 40FT HC,40FT,,MSK
462,AA MSK,MSK 40FT ST,40FT,,MSK
464,AA MSK,MSK 45FT HC,45FT,,MSK
465,AA MSK,MSK 45FT ST,45FT,,MSK
489,AA OOCL,OOC 40FT HC,40FT,,OOC
488,AA OOCL,OOC 40FT ST,40FT,,OOC
540,AA YML,YML 40FT HC,40FT,,YML
1,ANL SINGAPORE,ANL 20FT ST,20FT,,ANL
8,ANL SINGAPORE,ANL 40FT HC,40FT,,ANL
5,ANL SINGAPORE,ANL 40FT ST,40FT,,ANL
496,APL LTD,APL 20FT OT,20,,APL
15,APL LTD,APL 20FT ST,20FT,,APL
21,APL LTD,APL 40FT HC,40FT,,APL
20,APL LTD,APL 40FT ST,40FT,,APL
513,APL LTD,APL FR 40FT STD,40FT,,APL
26,APL LTD,APL HC 45FT,45FT,,APL
498,APL LTD,APL RF 40FT HC,40FT,,APL
34,ATLANTIC CONTAINER LINE,ACL 20FT ST,20FT,,ACL
40,ATLANTIC CONTAINER LINE,ACL 40FT HC,40FT,,ACL
39,ATLANTIC CONTAINER LINE,ACL 40FT ST,40FT,,ACL
51,ATLANTIC CONTAINER LINES,ACL 20FT ST,20FT,,ACL
56,ATLANTIC CONTAINER LINES,ACL 40FT ST,40FT,,ACL
75,CMA-CGM AMERICA,CMA 20FT ST,20FT,,CMA
82,CMA-CGM AMERICA,CMA 40FT HC,40FT,,CMA
79,CMA-CGM AMERICA,CMA 40FT ST,40FT,,CMA
401,CMA-CGM AMERICA,CMA HC 45FT,45FT,,CMA
508,CMA-CGM AMERICA,CMA OT 20FT,20FT,,CMA
485,CMA-CGM AMERICA,CMA RF 40FT HC,40FT,,CMA
93,COSCO,COS 40FT HC,40FT,,COS
493,COSCO,COS 40FT OT ST,40FT,,COS
92,COSCO,COS 40FT ST,40FT,,COS
392,COSCO,COS 45 FT HC,45FT,,COS
102,COSCO ,COS 20FT ST,20FT,,COS
525,CST MSC,MSC 20FT ST,20FT,,MSC
524,CST ZIM,ZIM 20FT ST,20FT,,ZIM
526,CST ZIM,ZIM 40FT ST,40FT,,ZIM
427,DYNA - COS,COS 20FT ST,20FT,,COS
432,DYNA - COS,COS 40FT HC,40FT,,COS
476,DYNA - COS,COS 40FT ST,40FT,,COS
431,DYNA - COS,COS 45FT HC,45FT,,COS
429,DYNA - NYK,NYK 40FT HC,40FT,,NYK
430,DYNA - NYK,NYK HC 45FT,45FT,,NYK
468,DYNA CHS COS,CHASSIS,40FT,,COS
103,EVERGREEN AMERICA,EVE 20FT STD,20FT,,EVE
109,EVERGREEN AMERICA,EVE 40FT HC,40FT,,EVE
108,EVERGREEN AMERICA,EVE 40FT ST,40FT,,EVE
411,EVERGREEN AMERICA,EVE 45 HC,45FT,,EVE
487,EVERGREEN AMERICA,EVE RF 40FT HC,40FT,,EVE
