verification_status,id,name,type,address,city,state,zip,country,terminal_code,Major Metro,Metro Region
VERIFIED,330,Port Canaveral,port,9180 Grouper Road,Cape Canaveral,FL,32920,USA,USPCVPTCANA,FL-Titusville,
VERIFIED,295,Port Everglades,port,1850 Eller Drive,Fort Lauderdale,FL,33316,USA,USFLLPTEVGL,FL-Fort Lauderdale,
DELETE,135,Port Everglades (Florida International Terminal)- ALL ONE PORT,port,3800 McIntosh Rd.,Fort Lauderdale,FL,33316,USA,USMIAPTFLIT,FL-Fort Lauderdale,Miami Ports
VERIFIED,198,Port Manatee,port,300 Tampa Bay Way,Palmetto,FL,34221,USA,USTPAPTMNTE,FL-Tampa,Tampa Ports
,289,Port of Baltimore (Dundalk Marine Terrminal),port,2700 Broening Hwy,Dundalk,MD,21222,USA,USBALPTDUND,MD-Baltimore,
VERIFIED,219,Port of Baltimore (Seagirt Marine Terminal-NS),port,2600 Broening Highway,Baltimore,MD,21224,USA,USBALPTSEAG,MD-Baltimore,
,290,Port of Boston (Conley Container Terminal),port,East 1st Street & Farragut Road,South Boston,MA,2127,USA,USBOSPTCNLY,MA-Boston,
,353,"Port of Brunswick, GA",port,157 Penniman Cir,Brunswick,GA,31523,USA,USSSIPTBRUN,GA-Brunswick,
,651,Port of Camden (Beckett Street Terminal),port,S 2nd St & Beckett St,Camden,NJ,8103,USA,NULL,PA-Philadelphia,Philadelphia-Ports
CALL,2,Port of Charleston (APM Terminal),port,420 Shipping Lane,Mount Pleasant,SC,29464,USA,USCHSPTAPMT,SC-Charleston,Charleston-Ports
VERIFIED,146,Port of Charleston (North Charleston Terminal),port,1000 Remount Road,North Charleston,SC,29406,USA,USCHSPTNCHT,SC-Charleston,Charleston-Ports
VERIFIED,271,Port of Charleston (Wando Welch Terminal),port,400 Long Point Rd.,Mount Pleasant,SC,29464,USA,USCHSPTWAWT,SC-Charleston,Charleston-Ports
,199,Port of Fernandina,port,Dade St North 3rd St.,Fernandina Beach,FL,32034,USA,USJAXPTFERN,FL-Jacksonville,JAX Ports
,200,"Port of Freeport, TX",port,1001 Navigation Blvd.,Freeport,TX,77541,USA,USHOUPTFRPT,TX-Houston,Houston-Ports
,201,Port of Gulfport,port,30th Avenue South ExtensionWest Pier,Gulfport,MS,39501,USA,USGPTPTGULF,MS-Gulfport,
VERIFIED,203,Port of Houston - Jacinto Port International,port,16398 Jacintoport Boulevard,Houston,TX,77015,USA,USHOUPTJNTO,TX-Houston,Houston-Ports
VERIFIED,3,Port of Houston (APM Terminal),port,919 E. Barbours Cut Blvd,La Porte,TX,77571,USA,USHOUPTAPMT,TX-Houston,Houston-Ports
VERIFIED,204,Port of Houston (Barbours Cut / Bayport Container),port,1515 East Barbours Cut Blvd.,La Porte,TX,77571,USA,USHOUPTBARB,TX-Houston,Houston-Ports
VERIFIED,202,Port of Houston (Bayport Container Terminal),port,12621 Port Road,Pasadena,TX,77586,USA,USHOUPTBYCT,TX-Houston,Houston-Ports
VERIFIED,143,Port of Houston (Manchester Terminal),port,10000 Manchester St,Houston,TX,77012,USA,USHOUPTMCHS,TX-Houston,Houston-Ports
VERIFIED,205,Port of Hueneme,port,333 Ponoma Street,Port Hueneme,CA,93041,USA,USLAXPTHUEN,CA-Los Angeles,Port Hueneme 
VERIFIED,4,Port of Jacksonville (APM Terminal),port,5800 William Mills Street,Jacksonville,FL,32226,USA,USJAXPTAPMT,FL-Jacksonville,JAX Ports
VERIFIED,296,Port of Jacksonville (Blount Island),port,9620 Dave Rawls Blvd,Jacksonville,FL,32226,USA,USJAXPTBLNT,FL-Jacksonville,JAX Ports
VERIFIED,287,Port of Jacksonville (Dame Point-Trapac),port,9834 New Berlin Rd,Jacksonville,FL,32226,USA,USJAXPTTRAP,FL-Jacksonville,JAX Ports
VERIFIED,286,Port of Jacksonville (Talleyrand Marine Terminal),port,2085 Talleyrand Ave,Jacksonville,FL,32206,USA,USJAXPTTLLY,FL-Jacksonville,JAX Ports
VERIFIED,325,Port of Long Beach (ITS Terminal PIER G),port,1281 Pier G Way,Long Beach,CA,90802,USA,USLAXPTITST,CA-Los Angeles,LB Ports
VERIFIED,342,Port of Long Beach (LBCT Piers E),port,1171 Pier F Ave,Long Beach,CA,90802,USA,USLAXPTLBEF,CA-Los Angeles,LB Ports
VERIFIED,350,Port of Long Beach (Matson Terminal - PIER C),port,1521 Pier C St,Long Beach,CA,90813,USA,USLAXPTMTLB,CA-Los Angeles,LB Ports
VERIFIED,326,Port of Long Beach (Pacific Container Terminal-PEIR J),port,1512 Pier J Avenue,Long Beach,CA,90803,USA,USLAXPTPACT,CA-Los Angeles,LB Ports
VERIFIED,221,Port of Long Beach (SSA Pier A),port,700 Pier A Plaza,Long Beach,CA,90813,USA,USLAXPTSALB,CA-Los Angeles,LB Ports
VERIFIED,351,Port of Long Beach (Total Terminals-PEIR T),port,301 Hanjin Rd,Long Beach,CA,90802,USA,USLAXPTTOTI,CA-Los Angeles,LB Ports
CLOSED,206,Port of Los Angeles - this is consolidated below,port,425 South Palos Verdes Street,San Pedro,CA,90731,USA,USLAXPTANGL,CA-Los Angeles,LA Ports
VERIFIED,7,Port of Los Angeles (APM Terminal),port,2500 Navy Way Berths 401-406,San Pedro,CA,90731,USA,USLAXPTAPMT,CA-Los Angeles,LA Ports
CLOSED,347,Port of Los Angeles (California United Terminal) - LOOKS LIKE IT CLOSED IN 2017,port,2525 Navy Way,San Pedro,CA,90731,USA,USLAXPTCAUT,CA-Los Angeles,LA Ports
VERIFIED,348,Port of Los Angeles (Everport Terminal),port,389 Terminal Way Berths 226-236,San Pedro,CA,90731,USA,USLAXPTEVER,CA-Los Angeles,LA Ports
VERIFIED,349,Port of Los Angeles (Fenix Marine Terminal),port,614 Terminal Way Births 302-305,San Pedro,CA,90731,USA,USLAXPTEMS1,CA-Los Angeles,LA Ports
VERIFIED,329,Port of Los Angeles (Trapac Terminal),port,920 West Harry Bridges Blvd Berths 136-147,Wilmington,CA,90744,USA,USLAXPTTRAP,CA-Los Angeles,LA Ports
VERIFIED,352,Port of Los Angeles (West Basin Container Terminal),port,2050 John S Gibson Blvd Births 100-102/121-131,San Pedro,CA,90731,USA,USLAXPTWBCT,CA-Los Angeles,LA Ports
VERIFIED,346,Port of Los Angeles (Yusen Terminal),port,701 New Dock St Berths 212-225,San Pedro,CA,90731,USA,USLAXPTYUSN,CA-Los Angeles,LA Ports
VERIFIED,647,Port of Miami (POMTOC),port,635 Austrailia Way,Miami,FL,33132,USA,USMIAPTMTOC,FL-Miami,Miami Ports
VERIFIED,332,Port of Miami (South Florida Container Terminal),port,2299 Port Boulevard,Miami,FL,33132,USA,USMIAPTSFCT,FL-Miami,Miami Ports
New,,Port of Miami (Seaboard Marine) ,port,1630 Port Boulevard,Miami,FL,33132,USA,,FL-Miami,Miami Ports
,5,Port of Mobile (APM Terminal),port,901 Ezra Trice Blvd,Mobile,AL,36603,USA,USMOBPTAPMT,AL-Mobile,
VERIFIED,208,Port of Montreal (Cast Terminal),port,305 Curatteau St,Montreal,QC,H1L6R6,CA,CAMTRPTCAST,QC-Montreal,
VERIFIED,218,Port of Montreal (Racine Terminal),port,Shed 57-64,Montreal,QC,H2X2T6,CA,CAMTRPTRCNE,QC-Montreal,
VERIFIED,209,Port of New Orleans,port,1350 Port of New Orleans Place,New Orleans,LA,70130,USA,USMSYPTNORL,LA-New Orleans,New Orleans-Ports
VERIFIED,733,Port of New Orleans (NOT),port,50 Napoleon Avenue,New Orleans,LA,70115,USA,NULL,LA-New Orleans,New Orleans-Ports
VERIFIED,145,Port of Norfolk (Nofolk International Terminal),port,7737 Hampton Blvd.,Norfolk,VA,23505,USA,USORFPTNINT,VA-Norfolk,Norfolk-Ports
,334,Port of Norfolk (Portsmouth Marine Terminal),port,2000 Seaboard Ave,Portsmouth,VA,23707,USA,USORFPTPMMT,VA-Norfolk,Norfolk-Ports
VERIFIED,196,Port of Norfolk (Virginia Inland Port),port,7685 Winchester Road,Front Royal,VA,22630,USA,USFRRNSVAIP,VA-Norfolk,Norfolk-Ports
,288,Port of Norfolk (Virginia International Terminals),port,7737 Hampton Blvd,Norfolk,VA,23505,USA,USORFPTVAIT,VA-Norfolk,Norfolk-Ports
,272,Port of NY/NJ (American Stevedoring),port,138 Marsh St,Newark,NJ,7114,USA,USNYCPTASPN,NJ-Newark,NY/NJ-Ports
,6,Port of NY/NJ (APM Terminal),port,5080 McLester Street,Elizabeth,NJ,7207,USA,USNYCPTAPMT,NJ-Newark,NY/NJ-Ports
VERIFIED,324,Port of NY/NJ (GCT Bayonne-NS),port,302 Port Jersey Blvd,Jersey City,NJ,7305,USA,USNYCPTGLBT,NJ-Newark,NY/NJ-Ports
VERIFIED,275,Port of NY/NJ (GCT Howland Hook),port,300 Western Ave,Staten Island,NY,10303,USA,USNYCPTGCTH,NY-New York ,NY/NJ-Ports
,274,Port of NY/NJ (Maher Container Terminal),port,1210 Corbin St,Elizabeth,NJ,7201,USA,USNYCPTMAHR,NJ-Newark,NY/NJ-Ports
,333,Port of NY/NJ (PNCT-Pt Newark Container Term),port,241 Calcutta Street,Newark,NJ,7114,USA,USNYCPTPNCT,NJ-Newark,NY/NJ-Ports
,273,Port of NY/NJ (Red Hook American Stevedoring),port,70 Hamilton Ave # 8,Brooklyn,NY,11231,USA,USNYCPTASRH,NY-New York ,NY/NJ-Ports
,344,Port of Oakland (Ben E Nutter),port,5190 7th St,Oakland,CA,94607,USA,USOAKPTBENE,CA-Oakland,Oakland Ports
VERIFIED,345,Port of Oakland (Matson Terminal),port,1579 Middle Harbor Rd,Oakland,CA,94607,USA,USOAKPTMTSN,CA-Oakland,Oakland Ports
VERIFIED,222,Port of Oakland (SSA Berth 58),port,1717 Middle Harbor Road,Oakland,CA,94608,USA,USOAKPTSA58,CA-Oakland,Oakland Ports
VERIFIED,328,Port of Oakland (TraPac Terminal),port,2800 7th Street - Berth 30,Oakland,CA,94608,USA,USOAKPTTRAP,CA-Oakland,Oakland Ports
VERIFIED,294,Port of Palm Beach,port,"1 East 11th St, Suite 600",Riviera Beach,FL,33404,USA,USPBIPTPBCH,FL-West Palm Beach,
VERIFIED,331,Port of Panama City,port,2816 B West 11th Street,Panama City,FL,32401,USA,USPFNPTPNMA,FL-Panama City,
CALL,291,Port of Philadelphia (Packer Ave Marine Terminal),port,3301 S. Columbus Blvd,Philadelphia,PA,19148,USA,USPHLPTPHIL,PA-Philadelphia,Philadelphia-Ports
,649,Port of Philadelphia (Crowley Marine Terminal),port,N 36th St and Delaware River Rd,Pennsauken,NJ,8110,USA,NULL,NJ-Newark,Philadelphia-Ports
,648,Port of Philadelphia (Gloucester Marine Terminal),port,101 South King St,Gloucester City,NJ,8030,USA,NULL,PA-Philadelphia,Philadelphia-Ports
,323,Port of Philadelphia (Penn Terminals),port,1 Saville Ave,Eddystone,PA,19022,USA,USPHLPTPENN,PA-Philadelphia,Philadelphia-Ports
VERIFIED,726,Port of Philadelphia (Tioga Marine Terminal),port,3801 N. Delaware Avenue,Philadelphia,PA,19134,USA,USPHLPTTOGA,PA-Philadelphia,Philadelphia-Ports
VERIFIED,210,Port of Richmond (Richmond Marine Terminal),port,5000 Deepwater Terminal Road,Richmond,VA,23234,USA,USRICPTRICH,VA-Richmond,
,292,Port of Savannah - Garden City Terminal,port,2 Main St,Garden City,GA,31408,USA,USSAVPTGRDN,GA-Savannah,Savannah Ports
VERIFIED,278,Port of Seattle (Matson Terminal 5),port,3443 West Marginal Way,Seattle,WA,98106,USA,USSEAPTTT46,WA-Seattle ,Seattle-Ports
VERIFIED,223,Port of Seattle (SSA Terminal 18),port,1050 SW Spokane St.,Seattle,WA,98134,USA,USSEAPTSA18,WA-Seattle ,Seattle-Ports
VERIFIED,277,Port of Seattle (SSA Terminal 30),port,2431 E Marginal Way South,Seattle,WA,98134,USA,USSEAPTSA30,WA-Seattle ,Seattle-Ports
,212,Port of Stockton,port,2201 West Washington Street,Stockton,CA,95201,USA,USSCKPTSTCK,CA-Stockton ,Stockton
VERIFIED,280,Port of Tacoma (Huskey Terminal 4),port,1101 Port of Tacoma Rd,Tacoma,WA,98421,USA,USTIWPTHUS4,WA-Tacoma,Tacoma-Ports
VERIFIED,282,Port of Tacoma (Matson Terminal),port,1675 Lincoln Ave,Tacoma,WA,98421,USA,USTIWPTAPMT,WA-Tacoma,Tacoma-Ports
VERIFIED,279,Port of Tacoma (Olympic Container Terminal),port,710 Port of Tacoma Rd,Tacoma,WA,98421,USA,USTIWPTOLCT,WA-Tacoma,Tacoma-Ports
VERIFIED,284,Port of Tacoma (Pierce County Terminal),port,4015 N Frontage Rd,Tacoma,WA,98421,USA,USTIWPTPRCE,WA-Tacoma,Tacoma-Ports
VERIFIED,281,Port of Tacoma (Totem Ocean Trailer Express),port,500 E Alexander Ave,Tacoma,WA,98421,USA,USTIWPTTOTM,WA-Tacoma,Tacoma-Ports
VERIFIED,283,Port of Tacoma (Washington United Terminal),port,1815 Port of Tacoma Rd,Tacoma,WA,98421,USA,USTIWPTWAUT,WA-Tacoma,Tacoma-Ports
DELETE,293,Port of Tampa - ONLY ONE CONTAINER TERMINAL BELOW,port,1101 Channelside Dr,Tampa,FL,33602,USA,USTPAPTTMPA,FL-Tampa,Tampa Ports
VERIFIED,341,Port of Tampa (Ports America),port,2510 Guy N Verger Boulevard,Tampa,FL,33605,USA,USTPAPTPATP,FL-Tampa,Tampa Ports
VERIFIED,338,Port of Vancouver (Centerm-DeltaPort-VanTerm),port,"100 The Pointe, 999 Canada Place",Vancouver,BC,V6C3T4,CA,NULL,BC-Vancouver,
VERIFIED,215,Port of Wilmington DE,port,1 Hausel Road,Wilmington,DE,19801,USA,USILGPTWMDE,DE-Wilmington,
VERIFIED,216,"Port of Wilmington, NC",port,1 Shipyard Blvd,Wilmington,NC,28412,USA,USILMPTWMNC,NC-Wilmington,
VERIFIED,217,Port Saint John New Brunswick,port,111 Water Street,Saint John,NB,E2L1B1,CA,CASJBPTJOHN,NB-Saint John,
VERIFIED,220,South Carolina Inland Port (SCIP-NS),port,100 International Commerce Blvd.,Greer,SC,29651,USA,USGXXPTSCIP,SC-Greer,
VERIFIED,1,APL - Chicago Global Gateway / CGG,ramp,2050 Centerpoint Way,Joliet,IL,60436,USA,USCHIPTACGG,IL-Chicago,Chicago Elwood/Joliet
VERIFIED,728,Appalachian Regional Port,ramp,8746 Hwy 411 N,Crandall,GA,30711,USA,NULL,GA-Crandall,
VERIFIED,8,BNSF - Albuquerque,ramp,100 Woodward Street S.E.,Albuquerque,NM,87102,USA,USABQBNALBQ,NM-Albuquerque,
VERIFIED,9,BNSF - Alliance,ramp,1111 Intermodal Parkway,Haslet,TX,76052,USA,USHOUBNALNC,TX-Houston,Houston-Rails
DELETE,10,BNSF - Amarillo - NO LONGER SHOWING A BNSF SERVED,ramp,1801 Farmers Ave.,Amarillo,TX,79118,USA,USAMABNAMAR,TX-Amarillo,
NEW,,BNSF - Barstow,ramp,2825 W. Main Street,Barstow,CA,92311,USA,,,
VERIFIED,14,BNSF - Chicago (Cicero),ramp,5601 W. 26th St.,Chicago,IL,60632,USA,USCHIBNCCRO,IL-Chicago,Chicago Metro
VERIFIED,15,BNSF - Chicago (Corwith),ramp,3526 W. 43rd St.,Chicago,IL,60632,USA,USCHIBNCWTH,IL-Chicago,Chicago Metro
VERIFIED,16,BNSF - Chicago (Logistics Park),ramp,26664 Elwood International Port Road,Elwood,IL,60421,USA,USCHIBNLGPK,IL-Chicago,Chicago Elwood/Joliet
VERIFIED,17,BNSF - Chicago (Willow Springs),ramp,7600 Santa Fe Drive,Hodgkins,IL,60525,USA,USCHIBNWLSP,IL-Chicago,Chicago South
VERIFIED,18,BNSF - Commerce Lot,ramp,5600 East 26th Street,Commerce,CA,90023,USA,USLAXBNCMRC,CA-Los Angeles,LA Rails
VERIFIED,19,BNSF - Denver (Irondale),ramp,585 West 53rd Place,Denver,CO,80216,USA,USDENBNIRON,CO-Denver,
VERIFIED,21,BNSF - El Paso,ramp,805 S. Sante Fe St.,El Paso,TX,79901,USA,USELPBNELPS,TX-El Paso,
VERIFIED,23,BNSF - Houston (Pearland),ramp,214 Brisbane Road,Houston,TX,77061,USA,USHOUBNPRLD,TX-Houston,Houston-Rails
VERIFIED,26,BNSF - Kansas City (Logistics Park),ramp,32880 W. 199th St,Edgerton,KS,66021,USA,USMKCBNLGPK,MO-Kansas City,
