id,line,type,equipmentlength,scac
1675,AA BCS,CH 20FT,20FT,BTT
1676,AA BCS,CH 40FT,40FT,BTT
1677,AA BCS,CH 45FT,40 FT,BTT
1071,AA DCLI,CH 20FT,20FT,DCLI
1689,AA DCLI,CH 20TRI,20FT,DCLI
1072,AA DCLI,CH 40FT,40FT,DCLI
1073,AA DCLI,CH 45FT,45FT,DCLI
2465,AA DCLI CE,CH 20FT,20FT,DCLI
2466,AA DCLI CE,CH 40FT,40FT,DCLI
2467,AA DCLI CE,CH 45FT,45FT,DCLI
1667,AA MWCP,CH 20FT,20FT,MWCP
1668,AA MWCP,CH 40FT,40FT,MWCP
1669,AA MWCP,CH 45FT,45FT,MWCP
2459,AA MWCP CE,CH 20FT,20FT,MWCP
2460,AA MWCP CE,CH 40FT,40FT,MWCP
2461,AA MWCP CE,CH 45FT,45FT,MWCP
1664,AA MWRP,CH 20FT,20FT,MWRP
1665,AA MWRP,CH 40FT,40FT,MWRP
1666,AA MWRP,CH 45FT,45FT,MWRP
2462,AA MWRP CE,CH 20FT,20FT,MWRP
2463,AA MWRP CE,CH 40FT,40FT,MWRP
2464,AA MWRP CE,CH 45FT,45FT,MWRP
1671,AAA IXT,CH 20FT,20FT,IXPT
1672,AAA IXT,CH 40FT,40FT,IXPT
1673,AAA IXT,CH 45FT,45FT,IXPT
1688,AAA IXT,CH ANYSIZE,40FT,IXPT
2090,AAA IXT,CH COMBO,40FT,IXPT
1742,AAA IXT,CH COMBO,20FT,IXPT
1670,AAA IXT ,CH TRI,TRI,IXPT
22,ALLIANCE/CMA,ALL/CHASSIS SPLIT,ALL,CMDU
1743,ALLIANCE/CMA,HC 40FT,40FT,CMDU
1744,ALLIANCE/CMA,HC 45FT,45FT,CMDU
2187,ALLIANCE/CMA,RF 40FT,40FT,CMDU
1745,ALLIANCE/CMA,ST 20FT,20FT,CMDU
1746,ALLIANCE/CMA,ST 40FT,40FT,CMDU
106,ALLIANCE/EVERGREEN,ALL,ALL,EISU
1747,ALLIANCE/EVERGREEN,HC 40FT,40FT,EGLV
1748,ALLIANCE/EVERGREEN,HC 45FT,45FT,EGLV
2188,ALLIANCE/EVERGREEN,RF 40FT,40FT,EGLV
1749,ALLIANCE/EVERGREEN,ST 20FT,20FT,EGLV
1750,ALLIANCE/EVERGREEN,ST 40FT,40FT,EGLV
123,ALLIANCE/HAINAN,ALL,ALL,HNSU
1697,ALLIANCE/NFM/APL,ALL,ALL,APLU
1751,ALLIANCE/NFM/APL,HC 40FT,40FT,APLU
1752,ALLIANCE/NFM/APL,HC 45FT,45FT,APLU
2189,ALLIANCE/NFM/APL,RF 40FT,40FT,APLU
1753,ALLIANCE/NFM/APL,ST 20FT,20FT,APLU
1754,ALLIANCE/NFM/APL,ST 40FT,20FT,APLU
1695,ALLIANCE/NFM/CMA,ALL,ALL,CMDU
1755,ALLIANCE/NFM/CMA,HC 40FT,40FT,CMDU
1756,ALLIANCE/NFM/CMA,HC 45FT,45FT,CMDU
2190,ALLIANCE/NFM/CMA,RF 40FT,40FT,CMDU
1757,ALLIANCE/NFM/CMA,ST 20FT,20FT,CMDU
1758,ALLIANCE/NFM/CMA,ST 40FT,40FT,CMDU
1696,ALLIANCE/NFM/HAPAG,ALL,ALL,HLCU
1759,ALLIANCE/NFM/HAPAG,HC 40FT,40FT,HLCU
1760,ALLIANCE/NFM/HAPAG,HC 45FT,45FT,HLCU
2191,ALLIANCE/NFM/HAPAG,RF 40FT,40FT,HLCU
1761,ALLIANCE/NFM/HAPAG,ST 20FT,20FT,HLCU
1762,ALLIANCE/NFM/HAPAG,ST 40FT,40FT,HLCU
2437,ALLIANCE/ONE,HC 40FT,40FT,ONEY
2438,ALLIANCE/ONE,HC 45FT,45FT,ONEY
2439,ALLIANCE/ONE,RF 40FT,40FT,ONEY
2440,ALLIANCE/ONE,ST 20FT,20FT,ONEY
2441,ALLIANCE/ONE,ST 40FT,40FT,ONEY
2095,ALLIANCE/OOCL,HC 40FT,40FT,OOLL
2096,ALLIANCE/OOCL,HC 45FT,45FT,OOLL
2192,ALLIANCE/OOCL,RF 40FT,40FT,OOLL
2097,ALLIANCE/OOCL,ST 20FT,20FT,OOLL
2098,ALLIANCE/OOCL,ST 40FT,40FT,OOLL
2099,ALLIANCE/PIL,HC 40FT,40FT,PABV
2100,ALLIANCE/PIL,HC 45FT,45FT,PABV
2193,ALLIANCE/PIL,RF 40FT,40FT,PABV
2101,ALLIANCE/PIL,ST 20FT,20FT,PABV
2102,ALLIANCE/PIL,ST 40FT,40FT,PABV
52,ANL,ALL,ALL,ANZDL
917,ANL CMA,HC 45FT,45FT,ANLC
918,ANL- US SINGAPORE,CH 20FT,20FT,ANLC
919,ANL USL CMA,HC 40FT,40FT,ANLC
920,ANL USL CMA,ST 20FT,20ST,ANLC
921,ANL USL CMA,ST 40FT,40FT,ANLC
55,ANRM,ALL,ALL,ANRM
11,APL,ALL,ALL,APLU
922,APL LTD,CH 20FT,20FT,APLU
923,APL LTD,CH 40FT,40FT,APLU
924,APL LTD,CH 45FT,45FT,APLU
